CSR_Name,CSR_Number,Site_Name,Region
O/S NO 104-HAVERSTOCK HILL,86230,Column ref 890807,UK - London
North St Anns,36840,Woodborough road sw,UK - South
Ontix-Bishops Bridge Road,92255,ONTIX ASSET ID WSM01368,UK - London
COWLEY PEACHEY,5096,Cornerstone 10337_Vodafone 76302,UK - London
Tantobie GtG,80841,Wyndways Farm,UK - North
Ouston,2033,Ouston Bank Farm (2),UK - North
VF80370,71555,King Edward VII Hospital,UK - London
Hooks Cross CL4 (VF35257C),69342,Exisiting Orange Mast,UK - South
Woodham Ferrers Railway Station,64271,SOUTH WOODHAM FERRERS,UK - South
NEAR SEYMOUR STREET,86738,K6D 2077239962,UK - London
East Wickham,15975,Lodge Hill SF DA16,UK - London
Waddington North,71088,RAF Waddington,UK - South
Dean  Street-Shaftesbury Avenue junction,91667,Ontix ID 261643,UK - London
6 HYDE THE NW9,90484,Column Ref C24500-14,UK - London
Tring,1024,Cornerstone4321_Voda35223,UK - South
Prestwich Southwest Unwind,88970,GF to rear of Butterstile Playing Fields,UK - West
Selfridges Oxford St London,85718,Selfridges Oxford St London,UK - London
Shacklewell,3417,Shacklewell,UK - London
Enterprise Aylesford,64707,Enterprise Aylesford,UK - South
Stake Hill Unwind,25790,Land at Cinder hill Farm,UK - West
NEAR JUNCTION WITH DYOTT ST NEW OXFORD STREET,91490,Column Ref 7010134,UK - London
Hemsby,7038,Hemsby,UK - South
Unwind 4416,93051,TOWNSEND HOUSE,UK - West
Metherington Town Centre,71472,Metherington Fire Tower,UK - South
Leeds Station Macro,80168,Whitehall Junction - Network Rail,UK - North
Link Market Service Ltd Leeds,91310,Link Market Service Ltd Leeds,UK - North
Walton Road Micro,47976,63 Walton Road,UK - London
OS104 WINDMILL HILL,33416,Beeston Methodist Church,UK - North
The Co-operative South Normanton,66801,The Co-operative South Normanton,UK - South
Turners (Soham) Ltd,38562,Turners (Soham) Ltd - Micro,UK - South
O/S NO. 251 Soho Road,24848,Ontix Asset ID BIR11016570,UK - West
Haywards Heath East SF,46766,Cornerstone_15375_Voda_38044,UK - South
Beverley,644,Beverley Racecourse,UK - North
Tom A Chait,6368,S. H-E. Tower,UK - North
Westwell,1957,Britton,UK - South
Newton Hall,12655,Union Hall Farm A,UK - North
Leadenhall NTQ,4844,Cornerstone 4791_Vodafone 76934_0,UK - London
Well Hill,84752,S/W on Parkgate Road just west of Bridge over M25,UK - London
VF79402,71550,GF on Sylvan Hill,UK - London
Skidbrooke,71096,Willow farm land,UK - South
Opp The Publishing House Highbury Station Rd,87914,Column Ref 10123,UK - London
Roehampton South,15825,Roehampton South,UK - London
Upper St Martins Lane,7864,40 Monmouth Street,UK - London
87742_VF,71942,Grass verge Chingford Lane SW,UK - London
UCL WC1 Chenies Street,78358,18 Chenies Street,UK - London
ARCHER ROAD SHEFFIELD,69020,Archer Road SW,UK - North
Ealing Common South,43831,All Saints Church.,UK - London
Liverpool Litherland New (B3),23514,Gorsey Lane Streetworks,UK - West
Carlton,1327,Arnold and Carlton College,UK - South
Top of Hebers North Unwind,92787,Hatters Farm GF,UK - West
Unwind 78899,93062,Ward End East,UK - West
Bushey Heath VF3266,44962,CS 11408_VF 3266_10 CROWN MOTORS,UK - London
Southborough Open Space,44148,Hazlewalk West SW,UK - London
Liverpool Bootle Docks (B3),93180,Microspec Labs Ltd,UK - West
Stanstead Radisson SAS,40579,Stanstead Radisson SAS,UK - South
Stuart Tower,46218,Saint Saviours Church,UK - London
London Underground - BSH01B - Tunnel CSR 1,19902,London Underground - BSH00 - Tunnel CSR 1,UK - London
George Green,2389,All Souls Farm,UK - London
Felixstowe Town Infill,36758,C S.15477_VF.75900,UK - South
COPLEY HILL,16446,Providence Chimney,UK - North
Alternative option (42529),90302,Springer Nature Group,UK - London
Neasden (2135 NTQ Repl 2),82014,Neasden Lane / Braemar Ave SW GF,UK - London
Scottish Open 2018,85533,Scottish Open 2024,UK - North
PROJECT IVOR ROUTE 11 (37503VF),71325,PROJECT IVOR ROUTE 11 (37503VF),UK - South
Flemington Road Streetworks,45756,Cornerstone_13212_Voda_41993,UK - North
Hermit Road E16,72112,249 Hermit Road,UK - London
Arqiva 302157,73433,Chilton Court (2),UK - London
Paddington NTQ rep 9292 Split Cell 3,91028,30 Eastbourne Terrace,UK - London
Virgin Pendolino Train  390050-1,40023,Carriage 69850,UK - South
Virgin Pendolino Train  390040-1,40013,Carriage 69840,UK - South
PASTON PET,11674,Cornerstone 3021 _ Voda 77891,UK - South
Wolverhampton Rd,88863,Wednesfield Way Island SW,UK - West
Southport and Ormskirk Hospital NHS Trust Southport,23369,Southport and Ormskirk Hospital NHS Trust Southpo,UK - North
204 Brighton Road,96348,Freshwave ID LBC 002774,UK - London
Cowcaddens Chinatown (Replacement for 93397),102035,Stow Building RT,UK - West
Ripon Orange Mast,71065,Orange Mast - Ure Bank,UK - North
De Beers London,88454,De Beers London,UK - London
VF87916,72076,NG Pylon VC003,UK - London
Belvedere (Erith),4595,Belvedere Fire Station,UK - London
Spennin Hill,70436,Spenning Hill,UK - North
O/S 388 (FR) Green Street Upton Park,96683,FW Asset ID LBN 007021,UK - London
Homerton North (NTQ replacement 43950),87807,Banister House Block H,UK - London
Gorniture,69493,Ulster Arials,UK - North
O/s 130 Old Street,91501,Column Ref 109990,UK - London
Elgin Centre Rep 1,25689,Elgin Police Station Mast,UK - North
Liverpool Docks North New (B3),97468,SW near Great Outdoors,UK - West
Natural History Museum,44699,Natural History Museum CS,UK - London
Anglian Water Wisbech,73944,Wisbech 01,UK - South
OFFERTON GRANGE FARM (EAST OF A19),68325,OFFERTON GRANGE FARM (EAST OF A19),UK - North
NETHER BROUGHTON,6704,White Lodge Farm 1,UK - South
O/S Sungate Lodge ALBERT BRIDGE ROAD,88411,Column Ref 179042,UK - London
o2 Retail Spring Hill Blackburn,72957,o2 Retail  Spring Hill Blackburn,UK - West
Feltham West,17464,SF New Rd Feltham,UK - London
Arqiva 29854,73125,HAROLD HILL (E),UK - London
Walthamstow North,10957,Highams Park ATE,UK - London
Wick Rd jnc Eastway Hackney (CCTV),100111,Asset ID HAC 000234,UK - London
Hardwick Highlands Road,49229,SW on corner of Sussex Drive/ Highlands,UK - South
Sainsburys Argos Swansea,91236,Sainsburys Argos Swansea,UK - South
Unwind 33440,92932,BLOXWICH INDUSTRIAL ESTATE,UK - West
Cottage Farm Gravelpit Hill,73988,Gravelpit Hill,UK - South
GLAGORM,7610,Youngs Field,UK - North
ABN AMRO,79894,ABN AMRO,UK - London
LD 1150 Dollis Valley Estate,92194,Artemis House,UK - London
Old Brompton Rd (6976 Repl),77182,72 Old Brompton Rd,UK - London
Cardiff Working Street,62653,Coral Betting Shop,UK - West
Unwind 85087,92887,Coton Road GF,UK - West
LCSTR 18-P1,100253,Freshwave ID LCC 019514,UK - South
Unwind 81726,93031,Concorde House Union Drive,UK - West
Bridgeton South,89026,Clyde Gateway SW,UK - West
OPP JCT ENNERDALE RD Sandycombe Road,90788,Column Ref 3027587,UK - London
SWANLEY VILLAGE,5232,South Fort Stables,UK - London
o2 Retail Store ST Helens,23821,o2 Retail Store ST Helens,UK - North
Braemore Junction,6432,Highland Regional Council Towe,UK - North
JW WATERMAN PLACE Reading,25266,Ontix Asset ID RDG10925435,UK - West
St Bride St (NTQ REP 30457),77062,2 SAINT BRIDE STREET,UK - London
Wallsend Central,12645,Wallsend TE,UK - North
Fulham Road SW6,7813,S&N (THE GEORGE),UK - London
Adjacent to Dunelm Mill,84740,Prospect place/ Collier Row SW,UK - London
Holywood Centre NI_D,87735,Church Street Car park,UK - North
St Swithins Ln,1,LO Scottish Provident,UK - London
Unwind 79242,92707,Alma Industrial Estate,UK - West
St Columb Major,3735,Gluvian Reservoir,UK - West
Unwind 5908,93028,ST JOSEPHS COURT,UK - West
Marsden replacement,98230,Marsden Lane sw.,UK - North
Waterloo International_1  SE1_Micro,70770,79 York Road,UK - London
Benyon Centre Leeds (NTQ Rep csr16734),76966,Tesco Benyon Centre,UK - North
SCRAP YARD,46828,Scrap  Yard,UK - North
Colindale Gardens (Parallel to 36082 Aerodrome Rd SF),98162,Umber House,UK - London
Keppochhill Unwind,89131,Keppochhill Rd SW 1,UK - West
Wembley Stadium Station NEW,48359,California Kitchen,UK - London
Hardwick Road 71031o2 New Parallel,89999,Hardwick Road Field,UK - South
Hopefield,38297,John Dennis & Co,UK - North
Core Lenton Perm Replacement 1 for CSR 10943,71860,Simpson Hall,UK - South
VIP John Motson,66867,John Motson,UK - South
DAYBROOK,20402,Gladehill Road,UK - South
old town hall MILVERTON ST,87520,Column Ref C0964-03,UK - London
SRN 8513695 TX ONLY,22664,Shake Holes,UK - North
o2 Retail Swansea Oxford Street,80505,o2 Retail Swansea Oxford Street,UK - West
Shepperton TW179NU/Shepperton TW179NU,84724,HALLIFORD MERE LAKES GF,UK - London
Woodcock Bowling Club SW,68464,Woodcock Bowling Club SW,UK - London
O/S 43-BALHAM HIGH ROAD,86396,Column ref 185020,UK - London
High Harrogate North,75471,Starbeck BT Reach Arqiva MSA ref 164990,UK - North
Westwood 3G (VF5576A),69996,British Rail 1,UK - South
Wester Dechmont,4930,Byres Farm,UK - North
Stratford International station (Micro),41959,Stratford International Station Pico,UK - London
62871 (62870) Eurotunnel 2,62871,62871 (62870) Eurotunnel 2,UK - South
Newton Heath West Unwind,89163,SW to rear of Bakery,UK - West
Newark Market Place,73303,Newark Market Place,UK - South
Uxbridge,357,LO Harman House,UK - London
DHL Brindley House,44879,DHL Brindley House,UK - South
CSR 063745 Perm Repl,23354,Martin Crescent Streetworks,UK - London
West Hadleigh,37671,NTL Tower (Arqiva),UK - South
326C Mare St London,96789,HAC 000305,UK - London
Newcastle,117,Melbourne street,UK - North
Farringdon Tube North 3G,47638,The City Pride,UK - London
63475 (48849) Olympic Ricoh Arena DAS_5,63475,63475 (48849) Olympic Ricoh Arena DAS_5,UK - South
Crookston Junction Unwind,88984,Crookston Road (option F),UK - West
St Davids Shopping Centre Cardiff,87769,St Davids Shopping Centre Cardiff,UK - South
Didsbury West Unwind,88813,SW on Palatine Road by Bus terminus,UK - West
Little Markfield Farm_5396VF,72252,Little Markfield Farm_5396VF,UK - South
Roseworth,10253,Cornerstone 14293 _ Voda 79802,UK - North
