RFCodeID,rc_rf_cfg_code,rc_vendor
689,ENI09B-M2-3-v1,Ericsson (Northern Ireland)
808,E09B-M3-3-v1,Ericsson
1081,ENI09B-M4-3-v1,Ericsson (Northern Ireland)
1263,E09B-M4-3-v1,Ericsson
243,E09B-M2-4-v1,Ericsson
665,N09B-M2-4-v1,Nokia
791,E09B-M4-4-v1,Ericsson
1023,E09B-M3-4-v1,Ericsson
1102,N09B-M4-4-v1,Nokia
1167,N09B-M3-4-v1,Nokia
250,ENI10A-M2-1-v1,Ericsson (Northern Ireland)
394,E10A-M2-1-v1,Ericsson
624,N10A-M2-1-v1,Nokia
781,N10A-M4-1-v1,Nokia
966,E10A-M4-1-v1,Ericsson
996,ENI10A-M4-1-v1,Ericsson (Northern Ireland)
1003,E10A-M3-1-v1,Ericsson
1209,N10A-M3-1-v1,Nokia
1316,ENI10A-M3-1-v1,Ericsson (Northern Ireland)
215,N10A-M2-2-v1,Nokia
390,E10A-M3-2-v1,Ericsson
470,E10A-M2-2-v1,Ericsson
471,E10A-M4-2-v1,Ericsson
811,N10A-M4-2-v1,Nokia
904,N10A-M3-2-v1,Nokia
162,N10B-M2-1-v1,Nokia
206,E10B-M3-1-v1,Ericsson
237,ENI10B-M4-1-v1,Ericsson (Northern Ireland)
436,E10B-M4-1-v1,Ericsson
519,E10B-M2-1-v1,Ericsson
698,ENI10B-M3-1-v1,Ericsson (Northern Ireland)
920,ENI10B-M2-1-v1,Ericsson (Northern Ireland)
1121,N10B-M4-1-v1,Nokia
1217,N10B-M3-1-v1,Nokia
312,ENI10B-M3-2-v1,Ericsson (Northern Ireland)
658,E10B-M2-2-v1,Ericsson
858,ENI10B-M4-2-v1,Ericsson (Northern Ireland)
884,N10B-M4-2-v1,Nokia
1048,N10B-M3-2-v1,Nokia
1065,E10B-M3-2-v1,Ericsson
1079,ENI10B-M2-2-v1,Ericsson (Northern Ireland)
1172,N10B-M2-2-v1,Nokia
1305,E10B-M4-2-v1,Ericsson
61,E10B-M4-3-v1,Ericsson
98,E10B-M3-3-v1,Ericsson
324,N10B-M4-3-v1,Nokia
522,N10B-M2-3-v1,Nokia
664,E10B-M2-3-v1,Ericsson
1278,N10B-M3-3-v1,Nokia
105,E11A-M2-1-v1,Ericsson
140,N11A-M2-1-v1,Nokia
325,N11A-M3-1-v1,Nokia
851,N11A-M4-1-v1,Nokia
868,E11A-M3-1-v1,Ericsson
1137,E11A-M4-1-v1,Ericsson
163,E11A-M4-2-v1,Ericsson
302,N11A-M3-2-v1,Nokia
305,E11A-M3-2-v1,Ericsson
328,E11A-M2-2-v1,Ericsson
1083,N11A-M2-2-v1,Nokia
1351,N11A-M4-2-v1,Nokia
62,N11A-M2-4-v1,Nokia
270,E11A-M2-4-v1,Ericsson
283,E11A-M3-4-v1,Ericsson
493,E11A-M4-4-v1,Ericsson
860,N11A-M4-4-v1,Nokia
1321,N11A-M3-4-v1,Nokia
117,E11B-M3-1-v1,Ericsson
186,N11B-M3-1-v1,Nokia
410,N11B-M4-1-v1,Nokia
560,E11B-M4-1-v1,Ericsson
726,E11B-M2-1-v1,Ericsson
991,N11B-M2-1-v1,Nokia
230,N11B-M4-2-v1,Nokia
372,E11B-M2-2-v1,Ericsson
496,E11B-M3-2-v1,Ericsson
543,E11B-M4-2-v1,Ericsson
905,N11B-M3-2-v1,Nokia
1106,N11B-M2-2-v1,Nokia
242,E11B-M2-3-v1,Ericsson
453,N11B-M4-3-v1,Nokia
740,E11B-M3-3-v1,Ericsson
995,E11B-M4-3-v1,Ericsson
1076,N11B-M3-3-v1,Nokia
1230,N11B-M2-3-v1,Nokia
272,E11B-M2-4-v1,Ericsson
537,E11B-M3-4-v1,Ericsson
754,N11B-M3-4-v1,Nokia
1037,E11B-M4-4-v1,Ericsson
1040,N11B-M4-4-v1,Nokia
1156,N11B-M2-4-v1,Nokia
141,N12A-M4-1-v1,Nokia
392,E12A-M4-1-v1,Ericsson
520,E12A-M2-1-v1,Ericsson
849,N12A-M3-1-v1,Nokia
906,N12A-M2-1-v1,Nokia
978,E12A-M3-1-v1,Ericsson
108,N12A-M4-2-v1,Nokia
159,E12A-M2-2-v1,Ericsson
891,E12A-M4-2-v1,Ericsson
1077,N12A-M3-2-v1,Nokia
1097,N12A-M2-2-v1,Nokia
1127,E12A-M3-2-v1,Ericsson
489,E12A-M2-4-v1,Ericsson
569,E12A-M3-4-v1,Ericsson
628,N12A-M4-4-v1,Nokia
727,N12A-M2-4-v1,Nokia
955,N12A-M3-4-v1,Nokia
1171,E12A-M4-4-v1,Ericsson
468,E12B-M4-1-v1,Ericsson
541,N12B-M3-1-v1,Nokia
767,E12B-M2-1-v1,Ericsson
769,N12B-M4-1-v1,Nokia
869,E12B-M3-1-v1,Ericsson
1284,N12B-M2-1-v1,Nokia
137,E12B-M3-2-v1,Ericsson
267,N12B-M2-2-v1,Nokia
708,N12B-M4-2-v1,Nokia
790,E12B-M2-2-v1,Ericsson
1168,N12B-M3-2-v1,Nokia
1232,E12B-M4-2-v1,Ericsson
246,E12B-M3-3-v1,Ericsson
450,N12B-M2-3-v1,Nokia
526,E12B-M4-3-v1,Ericsson
823,E12B-M2-3-v1,Ericsson
1140,N12B-M4-3-v1,Nokia
1223,N12B-M3-3-v1,Nokia
558,E12B-M2-4-v1,Ericsson
589,N12B-M2-4-v1,Nokia
681,E12B-M3-4-v1,Ericsson
975,N12B-M4-4-v1,Nokia
1246,N12B-M3-4-v1,Nokia
1322,E12B-M4-4-v1,Ericsson
104,E13A-M2-1-v1,Ericsson
469,N13A-M4-1-v1,Nokia
701,N13A-M3-1-v1,Nokia
1045,E13A-M3-1-v1,Ericsson
1213,N13A-M2-1-v1,Nokia
1231,E13A-M4-1-v1,Ericsson
102,N13A-M2-2-v1,Nokia
274,E13A-M2-2-v1,Ericsson
684,E13A-M3-2-v1,Ericsson
892,N13A-M4-2-v1,Nokia
1181,N13A-M3-2-v1,Nokia
1264,E13A-M4-2-v1,Ericsson
332,E13A-M4-4-v1,Ericsson
590,E13A-M2-4-v1,Ericsson
604,E13A-M3-4-v1,Ericsson
1060,N13A-M2-4-v1,Nokia
1245,N13A-M3-4-v1,Nokia
1328,N13A-M4-4-v1,Nokia
273,E13B-M2-1-v1,Ericsson
622,N13B-M2-1-v1,Nokia
838,E13B-M3-1-v1,Ericsson
857,E13B-M4-1-v1,Ericsson
